Leading Cancer Sites,Leading Cancer Sites Code,Year,Year Code,Sex,Sex Code,Ethnicity,Ethnicity Code,Mortality-Incidence Age-Adjusted Rate Ratio,Death Counts,Mortality Population,Mortality Age-Adjusted Rate,Incidence Counts,Incidence Population,Incidence Age-Adjusted Rate
Brain and Other Nervous System,31010-31040,2005,2005,Female,F,Hispanic,2135-2,0.547,340,21030934,2.477,736,21030934,4.531
Brain and Other Nervous System,31010-31040,2005,2005,Female,F,Non-Hispanic,2186-5,0.597,5487,129182533,3.623,8637,129182533,6.066
Brain and Other Nervous System,31010-31040,2005,2005,Male,M,Hispanic,2135-2,0.57,431,21983069,3.654,968,21983069,6.414
Brain and Other Nervous System,31010-31040,2005,2005,Male,M,Non-Hispanic,2186-5,0.664,6877,123116126,5.478,10279,123116126,8.246
Brain and Other Nervous System,31010-31040,2006,2006,Female,F,Hispanic,2135-2,0.482,327,21837469,2.285,814,21837469,4.739
Brain and Other Nervous System,31010-31040,2006,2006,Female,F,Non-Hispanic,2186-5,0.583,5354,129895178,3.495,8618,129895178,5.994
Brain and Other Nervous System,31010-31040,2006,2006,Male,M,Hispanic,2135-2,0.505,401,22764677,3.072,989,22764677,6.089
Brain and Other Nervous System,31010-31040,2006,2006,Male,M,Non-Hispanic,2186-5,0.644,6787,123882588,5.306,10418,123882588,8.236
Brain and Other Nervous System,31010-31040,2007,2007,Female,F,Hispanic,2135-2,0.511,378,22650892,2.521,891,22650892,4.936
Brain and Other Nervous System,31010-31040,2007,2007,Female,F,Non-Hispanic,2186-5,0.59,5534,130515461,3.565,8755,130515461,6.042
Brain and Other Nervous System,31010-31040,2007,2007,Male,M,Hispanic,2135-2,0.534,437,23542063,3.288,1028,23542063,6.155
Brain and Other Nervous System,31010-31040,2007,2007,Male,M,Non-Hispanic,2186-5,0.638,6873,124522791,5.275,10626,124522791,8.265
Brain and Other Nervous System,31010-31040,2008,2008,Female,F,Hispanic,2135-2,0.533,391,23468891,2.407,847,23468891,4.517
Brain and Other Nervous System,31010-31040,2008,2008,Female,F,Non-Hispanic,2186-5,0.589,5637,131135124,3.559,8864,131135124,6.04
Brain and Other Nervous System,31010-31040,2008,2008,Male,M,Hispanic,2135-2,0.546,466,24320894,3.339,1033,24320894,6.113
Brain and Other Nervous System,31010-31040,2008,2008,Male,M,Non-Hispanic,2186-5,0.646,7207,125169057,5.435,10967,125169057,8.415
Brain and Other Nervous System,31010-31040,2009,2009,Female,F,Hispanic,2135-2,0.52,404,24261364,2.413,903,24261364,4.644
Brain and Other Nervous System,31010-31040,2009,2009,Female,F,Non-Hispanic,2186-5,0.609,5910,131702711,3.674,8985,131702711,6.037
Brain and Other Nervous System,31010-31040,2009,2009,Male,M,Hispanic,2135-2,0.568,493,25062023,3.404,1054,25062023,5.993
Brain and Other Nervous System,31010-31040,2009,2009,Male,M,Non-Hispanic,2186-5,0.656,7357,125745431,5.467,10994,125745431,8.337
Brain and Other Nervous System,31010-31040,2010,2010,Female,F,Hispanic,2135-2,0.472,370,24992953,2.261,953,24992953,4.794
Brain and Other Nervous System,31010-31040,2010,2010,Female,F,Non-Hispanic,2186-5,0.605,5813,132256712,3.554,8819,132256712,5.873
Brain and Other Nervous System,31010-31040,2010,2010,Male,M,Hispanic,2135-2,0.571,514,25738929,3.449,1115,25738929,6.038
Brain and Other Nervous System,31010-31040,2010,2010,Male,M,Non-Hispanic,2186-5,0.66,7456,126338549,5.418,10976,126338549,8.213
Brain and Other Nervous System,31010-31040,2011,2011,Female,F,Hispanic,2135-2,0.518,396,25565638,2.248,915,25565638,4.342
Brain and Other Nervous System,31010-31040,2011,2011,Female,F,Non-Hispanic,2186-5,0.613,5959,132804863,3.582,8827,132804863,5.849
Brain and Other Nervous System,31010-31040,2011,2011,Male,M,Hispanic,2135-2,0.548,522,26254388,3.223,1142,26254388,5.886
Brain and Other Nervous System,31010-31040,2011,2011,Male,M,Non-Hispanic,2186-5,0.663,7595,126958592,5.419,11101,126958592,8.175
Brain and Other Nervous System,31010-31040,2012,2012,Female,F,Hispanic,2135-2,0.581,491,26106559,2.578,949,26106559,4.437
Brain and Other Nervous System,31010-31040,2012,2012,Female,F,Non-Hispanic,2186-5,0.62,6109,133374076,3.624,8970,133374076,5.848
Brain and Other Nervous System,31010-31040,2012,2012,Male,M,Hispanic,2135-2,0.627,558,26757437,3.568,1115,26757437,5.692
Brain and Other Nervous System,31010-31040,2012,2012,Male,M,Non-Hispanic,2186-5,0.694,8085,127639590,5.657,11240,127639590,8.146
Brain and Other Nervous System,31010-31040,2012,2012,Male,M,Unknown or Missing,UNK,Not Applicable,23,Not Applicable,Not Applicable,33,Not Applicable,Not Applicable
Brain and Other Nervous System,31010-31040,2013,2013,Female,F,Hispanic,2135-2,0.565,498,26641948,2.596,1020,26641948,4.598
Brain and Other Nervous System,31010-31040,2013,2013,Female,F,Non-Hispanic,2186-5,0.628,6346,133903945,3.722,9157,133903945,5.923
Brain and Other Nervous System,31010-31040,2013,2013,Male,M,Hispanic,2135-2,0.537,548,27259191,3.274,1222,27259191,6.099
Brain and Other Nervous System,31010-31040,2013,2013,Male,M,Non-Hispanic,2186-5,0.678,7933,128254863,5.468,11302,128254863,8.07
Brain and Other Nervous System,31010-31040,2014,2014,Female,F,Hispanic,2135-2,0.564,495,27186616,2.478,1026,27186616,4.394
Brain and Other Nervous System,31010-31040,2014,2014,Female,F,Non-Hispanic,2186-5,0.648,6469,134503903,3.721,8977,134503903,5.738
Brain and Other Nervous System,31010-31040,2014,2014,Male,M,Hispanic,2135-2,0.625,628,27786043,3.63,1202,27786043,5.81
Brain and Other Nervous System,31010-31040,2014,2014,Male,M,Non-Hispanic,2186-5,0.691,8371,128909767,5.635,11547,128909767,8.151
Brain and Other Nervous System,31010-31040,2014,2014,Male,M,Unknown or Missing,UNK,Not Applicable,20,Not Applicable,Not Applicable,31,Not Applicable,Not Applicable
Brain and Other Nervous System,31010-31040,2015,2015,Female,F,Hispanic,2135-2,0.555,536,27757109,2.553,1083,27757109,4.596
Brain and Other Nervous System,31010-31040,2015,2015,Female,F,Non-Hispanic,2186-5,0.639,6604,135075042,3.739,9275,135075042,5.854
Brain and Other Nervous System,31010-31040,2015,2015,Male,M,Hispanic,2135-2,0.629,645,28354824,3.59,1229,28354824,5.711
Brain and Other Nervous System,31010-31040,2015,2015,Male,M,Non-Hispanic,2186-5,0.704,8455,129552019,5.603,11441,129552019,7.957
Brain and Other Nervous System,31010-31040,2015,2015,Male,M,Unknown or Missing,UNK,Not Applicable,19,Not Applicable,Not Applicable,24,Not Applicable,Not Applicable
Brain and Other Nervous System,31010-31040,2016,2016,Female,F,Hispanic,2135-2,0.587,586,28342097,2.725,1125,28342097,4.639
Brain and Other Nervous System,31010-31040,2016,2016,Female,F,Non-Hispanic,2186-5,0.667,6728,135643965,3.762,9078,135643965,5.641
Brain and Other Nervous System,31010-31040,2016,2016,Male,M,Hispanic,2135-2,0.633,665,28936905,3.529,1247,28936905,5.576
Brain and Other Nervous System,31010-31040,2016,2016,Male,M,Non-Hispanic,2186-5,0.712,8830,130148788,5.744,11790,130148788,8.068
Brain and Other Nervous System,31010-31040,2017,2017,Female,F,Hispanic,2135-2,0.575,587,28906337,2.631,1129,28906337,4.577
Brain and Other Nervous System,31010-31040,2017,2017,Female,F,Non-Hispanic,2186-5,0.654,6816,136102346,3.736,9217,136102346,5.714
Brain and Other Nervous System,31010-31040,2017,2017,Male,M,Hispanic,2135-2,0.617,710,29490085,3.674,1376,29490085,5.952
Brain and Other Nervous System,31010-31040,2017,2017,Male,M,Non-Hispanic,2186-5,0.691,8664,130623360,5.531,11804,130623360,8.002
Brain and Other Nervous System,31010-31040,2018,2018,Female,F,Hispanic,2135-2,0.599,631,29449021,2.745,1173,29449021,4.585
Brain and Other Nervous System,31010-31040,2018,2018,Female,F,Non-Hispanic,2186-5,0.661,6755,136428665,3.663,9068,136428665,5.54
Brain and Other Nervous System,31010-31040,2018,2018,Male,M,Hispanic,2135-2,0.572,678,30013471,3.311,1369,30013471,5.791
Brain and Other Nervous System,31010-31040,2018,2018,Male,M,Non-Hispanic,2186-5,0.726,9040,130947042,5.689,11719,130947042,7.834
Brain and Other Nervous System,31010-31040,2019,2019,Female,F,Hispanic,2135-2,0.59,656,29926362,2.694,1195,29926362,4.564
Brain and Other Nervous System,31010-31040,2019,2019,Female,F,Non-Hispanic,2186-5,0.669,6767,136711255,3.592,8892,136711255,5.369
Brain and Other Nervous System,31010-31040,2019,2019,Male,M,Hispanic,2135-2,0.623,802,30471950,3.789,1474,30471950,6.085
Brain and Other Nervous System,31010-31040,2019,2019,Male,M,Non-Hispanic,2186-5,0.716,8984,131220386,5.551,11728,131220386,7.747
Brain and Other Nervous System,31010-31040,2019,2019,Male,M,Unknown or Missing,UNK,Not Applicable,16,Not Applicable,Not Applicable,26,Not Applicable,Not Applicable
Brain and Other Nervous System,31010-31040,2020,2020,Female,F,Hispanic,2135-2,0.631,645,29686986,2.662,1106,29686986,4.218
Brain and Other Nervous System,31010-31040,2020,2020,Female,F,Non-Hispanic,2186-5,0.704,6905,132552322,3.697,8605,132552322,5.253
Brain and Other Nervous System,31010-31040,2020,2020,Male,M,Hispanic,2135-2,0.634,783,30192675,3.613,1413,30192675,5.703
Brain and Other Nervous System,31010-31040,2020,2020,Male,M,Non-Hispanic,2186-5,0.781,9138,127158928,5.767,11011,127158928,7.383
Breast,26000,1999,1999,Female,F,Hispanic,2135-2,0.171,1537,16482539,16.581,9686,16482539,97.247
Breast,26000,1999,1999,Female,F,Non-Hispanic,2186-5,0.198,38973,123911675,27.166,188411,123911675,137.104
Breast,26000,1999,1999,Female,F,Unknown or Missing,UNK,Not Applicable,95,Not Applicable,Not Applicable,478,Not Applicable,Not Applicable
Breast,26000,1999,1999,Male,M,Non-Hispanic,2186-5,0.263,368,117654708,0.352,1458,117654708,1.341
Breast,26000,2000,2000,Female,F,Hispanic,2135-2,0.172,1670,17296134,16.816,10391,17296134,97.828
Breast,26000,2000,2000,Female,F,Non-Hispanic,2186-5,0.201,39505,124569636,27.16,187802,124569636,134.922
Breast,26000,2000,2000,Female,F,Unknown or Missing,UNK,Not Applicable,105,Not Applicable,Not Applicable,475,Not Applicable,Not Applicable
Breast,26000,2000,2000,Male,M,Hispanic,2135-2,0.401,19,18311173,0.282,50,18311173,0.702
Breast,26000,2000,2000,Male,M,Non-Hispanic,2186-5,0.286,403,118381271,0.374,1453,118381271,1.309
Breast,26000,2001,2001,Female,F,Hispanic,2135-2,0.174,1745,18038562,16.479,10607,18038562,94.438
Breast,26000,2001,2001,Female,F,Non-Hispanic,2186-5,0.197,39120,125565415,26.553,190192,125565415,134.527
Breast,26000,2001,2001,Female,F,Unknown or Missing,UNK,Not Applicable,89,Not Applicable,Not Applicable,466,Not Applicable,Not Applicable
Breast,26000,2001,2001,Male,M,Non-Hispanic,2186-5,0.289,394,119454493,0.357,1405,119454493,1.238
Breast,26000,2002,2002,Female,F,Hispanic,2135-2,0.168,1723,18777495,15.852,11066,18777495,94.4
Breast,26000,2002,2002,Female,F,Non-Hispanic,2186-5,0.199,39264,126141727,26.237,189013,126141727,131.819
Breast,26000,2002,2002,Female,F,Unknown or Missing,UNK,Not Applicable,108,Not Applicable,Not Applicable,462,Not Applicable,Not Applicable
Breast,26000,2002,2002,Male,M,Non-Hispanic,2186-5,0.253,353,120059234,0.318,1453,120059234,1.257
Breast,26000,2003,2003,Female,F,Hispanic,2135-2,0.18,1884,19529116,16.348,11281,19529116,90.898
Breast,26000,2003,2003,Female,F,Non-Hispanic,2186-5,0.206,39631,128149920,25.851,183755,128149920,125.242
Breast,26000,2003,2003,Female,F,Unknown or Missing,UNK,Not Applicable,104,Not Applicable,Not Applicable,449,Not Applicable,Not Applicable
Breast,26000,2003,2003,Male,M,Non-Hispanic,2186-5,0.248,370,121912699,0.323,1556,121912699,1.305
Breast,26000,2004,2004,Female,F,Hispanic,2135-2,0.177,1909,20263650,15.966,11810,20263650,90.006
Breast,26000,2004,2004,Female,F,Non-Hispanic,2186-5,0.203,38986,128713636,25.117,184260,128713636,123.952
Breast,26000,2004,2004,Female,F,Unknown or Missing,UNK,Not Applicable,59,Not Applicable,Not Applicable,457,Not Applicable,Not Applicable
Breast,26000,2004,2004,Male,M,Hispanic,2135-2,0.242,17,21233735,0.201,71,21233735,0.83
Breast,26000,2004,2004,Male,M,Non-Hispanic,2186-5,0.229,343,122594277,0.296,1575,122594277,1.291
Breast,26000,2005,2005,Female,F,Hispanic,2135-2,0.165,1936,21030934,15.386,12811,21030934,93.516
Breast,26000,2005,2005,Female,F,Non-Hispanic,2186-5,0.201,39121,129182533,24.824,186469,129182533,123.712
Breast,26000,2005,2005,Female,F,Unknown or Missing,UNK,Not Applicable,59,Not Applicable,Not Applicable,459,Not Applicable,Not Applicable
Breast,26000,2005,2005,Male,M,Non-Hispanic,2186-5,0.247,369,123116126,0.308,1537,123116126,1.245
Breast,26000,2006,2006,Female,F,Hispanic,2135-2,0.166,2054,21837469,15.374,13293,21837469,92.335
Breast,26000,2006,2006,Female,F,Non-Hispanic,2186-5,0.194,38708,129895178,24.179,190524,129895178,124.792
Breast,26000,2006,2006,Female,F,Unknown or Missing,UNK,Not Applicable,58,Not Applicable,Not Applicable,481,Not Applicable,Not Applicable
Breast,26000,2006,2006,Male,M,Non-Hispanic,2186-5,0.244,378,123882588,0.307,1582,123882588,1.261
Breast,26000,2007,2007,Female,F,Hispanic,2135-2,0.162,2076,22650892,14.856,13899,22650892,91.596
Breast,26000,2007,2007,Female,F,Non-Hispanic,2186-5,0.186,38486,130515461,23.615,196417,130515461,126.691
Breast,26000,2007,2007,Female,F,Unknown or Missing,UNK,Not Applicable,36,Not Applicable,Not Applicable,475,Not Applicable,Not Applicable
Breast,26000,2007,2007,Male,M,Hispanic,2135-2,0.212,16,23542063,0.159,78,23542063,0.754
Breast,26000,2007,2007,Male,M,Non-Hispanic,2186-5,0.22,355,124522791,0.288,1690,124522791,1.308
Breast,26000,2008,2008,Female,F,Hispanic,2135-2,0.156,2140,23468891,14.641,14920,23468891,94.061
Breast,26000,2008,2008,Female,F,Non-Hispanic,2186-5,0.181,38392,131135124,23.21,201064,131135124,127.914
Breast,26000,2008,2008,Female,F,Unknown or Missing,UNK,Not Applicable,57,Not Applicable,Not Applicable,446,Not Applicable,Not Applicable
Breast,26000,2008,2008,Male,M,Non-Hispanic,2186-5,0.243,423,125169057,0.33,1788,125169057,1.359
Breast,26000,2009,2009,Female,F,Hispanic,2135-2,0.158,2270,24261364,14.834,15574,24261364,93.767
Breast,26000,2009,2009,Female,F,Non-Hispanic,2186-5,0.177,38348,131702711,22.893,206127,131702711,129.367
Breast,26000,2009,2009,Female,F,Unknown or Missing,UNK,Not Applicable,58,Not Applicable,Not Applicable,508,Not Applicable,Not Applicable
Breast,26000,2009,2009,Male,M,Hispanic,2135-2,0.181,16,25062023,0.157,99,25062023,0.867
Breast,26000,2009,2009,Male,M,Non-Hispanic,2186-5,0.224,384,125745431,0.292,1756,125745431,1.302
Breast,26000,2010,2010,Female,F,Hispanic,2135-2,0.161,2295,24992953,14.278,15405,24992953,88.648
Breast,26000,2010,2010,Female,F,Non-Hispanic,2186-5,0.18,38623,132256712,22.605,203277,132256712,125.764
Breast,26000,2010,2010,Female,F,Unknown or Missing,UNK,Not Applicable,78,Not Applicable,Not Applicable,479,Not Applicable,Not Applicable
Breast,26000,2010,2010,Male,M,Hispanic,2135-2,0.286,17,25738929,0.175,78,25738929,0.613
Breast,26000,2010,2010,Male,M,Non-Hispanic,2186-5,0.233,421,126338549,0.316,1861,126338549,1.358
Breast,26000,2011,2011,Female,F,Hispanic,2135-2,0.152,2369,25565638,14.121,16816,25565638,93.127
Breast,26000,2011,2011,Female,F,Non-Hispanic,2186-5,0.173,38494,132804863,22.24,210020,132804863,128.397
Breast,26000,2011,2011,Female,F,Unknown or Missing,UNK,Not Applicable,68,Not Applicable,Not Applicable,476,Not Applicable,Not Applicable
Breast,26000,2011,2011,Male,M,Hispanic,2135-2,0.2,19,26254388,0.153,108,26254388,0.764
Breast,26000,2011,2011,Male,M,Non-Hispanic,2186-5,0.235,422,126958592,0.307,1828,126958592,1.305
Breast,26000,2012,2012,Female,F,Hispanic,2135-2,0.16,2613,26106559,14.741,17404,26106559,92.391
Breast,26000,2012,2012,Female,F,Non-Hispanic,2186-5,0.17,38436,133374076,21.863,213038,133374076,128.54
Breast,26000,2012,2012,Female,F,Unknown or Missing,UNK,Not Applicable,101,Not Applicable,Not Applicable,489,Not Applicable,Not Applicable
Breast,26000,2012,2012,Male,M,Non-Hispanic,2186-5,0.211,390,127639590,0.275,1879,127639590,1.304
Breast,26000,2013,2013,Female,F,Hispanic,2135-2,0.154,2671,26641948,14.633,18595,26641948,94.857
Breast,26000,2013,2013,Female,F,Non-Hispanic,2186-5,0.164,38104,133903945,21.352,218562,133903945,130.159
Breast,26000,2013,2013,Female,F,Unknown or Missing,UNK,Not Applicable,85,Not Applicable,Not Applicable,502,Not Applicable,Not Applicable
Breast,26000,2013,2013,Male,M,Hispanic,2135-2,0.186,24,27259191,0.16,118,27259191,0.859
Breast,26000,2013,2013,Male,M,Non-Hispanic,2186-5,0.233,436,128254863,0.311,1978,128254863,1.336
Breast,26000,2014,2014,Female,F,Hispanic,2135-2,0.158,2822,27186616,14.737,19135,27186616,93.372
Breast,26000,2014,2014,Female,F,Non-Hispanic,2186-5,0.162,38287,134503903,21.136,222453,134503903,130.83
Breast,26000,2014,2014,Female,F,Unknown or Missing,UNK,Not Applicable,102,Not Applicable,Not Applicable,462,Not Applicable,Not Applicable
Breast,26000,2014,2014,Male,M,Hispanic,2135-2,0.194,23,27786043,0.158,120,27786043,0.813
Breast,26000,2014,2014,Male,M,Non-Hispanic,2186-5,0.226,442,128909767,0.298,1978,128909767,1.32
Breast,26000,2015,2015,Female,F,Hispanic,2135-2,0.143,2739,27757109,13.707,20448,27757109,95.708
Breast,26000,2015,2015,Female,F,Non-Hispanic,2186-5,0.159,38647,135075042,21.006,227165,135075042,131.818
Breast,26000,2015,2015,Female,F,Unknown or Missing,UNK,Not Applicable,137,Not Applicable,Not Applicable,568,Not Applicable,Not Applicable
Breast,26000,2015,2015,Male,M,Hispanic,2135-2,0.209,28,28354824,0.19,145,28354824,0.909
Breast,26000,2015,2015,Male,M,Non-Hispanic,2186-5,0.21,433,129552019,0.285,2086,129552019,1.359
Breast,26000,2016,2016,Female,F,Hispanic,2135-2,0.147,2953,28342097,14.034,21213,28342097,95.638
Breast,26000,2016,2016,Female,F,Non-Hispanic,2186-5,0.158,38424,135643965,20.687,228814,135643965,131.053
Breast,26000,2016,2016,Female,F,Unknown or Missing,UNK,Not Applicable,110,Not Applicable,Not Applicable,564,Not Applicable,Not Applicable
Breast,26000,2016,2016,Male,M,Hispanic,2135-2,0.218,22,28936905,0.171,132,28936905,0.782
Breast,26000,2016,2016,Male,M,Non-Hispanic,2186-5,0.219,442,130148788,0.279,2011,130148788,1.272
Breast,26000,2017,2017,Female,F,Hispanic,2135-2,0.141,2983,28906337,13.614,22215,28906337,96.44
Breast,26000,2017,2017,Female,F,Non-Hispanic,2186-5,0.156,38921,136102346,20.569,232784,136102346,131.742
Breast,26000,2017,2017,Female,F,Unknown or Missing,UNK,Not Applicable,96,Not Applicable,Not Applicable,550,Not Applicable,Not Applicable
Breast,26000,2017,2017,Male,M,Hispanic,2135-2,0.174,17,29490085,0.117,120,29490085,0.673
Breast,26000,2017,2017,Male,M,Non-Hispanic,2186-5,0.228,489,130623360,0.302,2120,130623360,1.329
Breast,26000,2018,2018,Female,F,Hispanic,2135-2,0.14,3071,29449021,13.573,23056,29449021,96.645
Breast,26000,2018,2018,Female,F,Non-Hispanic,2186-5,0.153,39313,136428665,20.443,237805,136428665,133.246
Breast,26000,2018,2018,Female,F,Unknown or Missing,UNK,Not Applicable,81,Not Applicable,Not Applicable,562,Not Applicable,Not Applicable
Breast,26000,2018,2018,Male,M,Hispanic,2135-2,0.252,26,30013471,0.144,108,30013471,0.573
Breast,26000,2018,2018,Male,M,Non-Hispanic,2186-5,0.215,457,130947042,0.288,2179,130947042,1.343
Breast,26000,2019,2019,Female,F,Hispanic,2135-2,0.139,3300,29926362,13.949,24852,29926362,100.499
Breast,26000,2019,2019,Female,F,Non-Hispanic,2186-5,0.148,38922,136711255,20.024,244946,136711255,135.752
Breast,26000,2019,2019,Female,F,Unknown or Missing,UNK,Not Applicable,58,Not Applicable,Not Applicable,597,Not Applicable,Not Applicable
Breast,26000,2019,2019,Male,M,Hispanic,2135-2,0.147,19,30471950,0.118,153,30471950,0.802
Breast,26000,2019,2019,Male,M,Non-Hispanic,2186-5,0.199,448,131220386,0.268,2229,131220386,1.348
Breast,26000,2020,2020,Female,F,Hispanic,2135-2,0.15,3171,29686986,13.193,22207,29686986,88.131
Breast,26000,2020,2020,Female,F,Non-Hispanic,2186-5,0.16,37712,132552322,19.723,216917,132552322,123.645
Breast,26000,2020,2020,Female,F,Unknown or Missing,UNK,Not Applicable,65,Not Applicable,Not Applicable,488,Not Applicable,Not Applicable
Breast,26000,2020,2020,Male,M,Hispanic,2135-2,0.238,28,30192675,0.161,136,30192675,0.679
Breast,26000,2020,2020,Male,M,Non-Hispanic,2186-5,0.233,447,127158928,0.282,1959,127158928,1.206
Cervix Uteri,27010,1999,1999,Female,F,Hispanic,2135-2,0.228,378,16482539,3.579,1888,16482539,15.693
Cervix Uteri,27010,1999,1999,Female,F,Non-Hispanic,2186-5,0.299,3739,123911675,2.755,11995,123911675,9.21
Cervix Uteri,27010,2000,2000,Female,F,Hispanic,2135-2,0.255,434,17296134,3.954,1975,17296134,15.523
Cervix Uteri,27010,2000,2000,Female,F,Non-Hispanic,2186-5,0.297,3691,124569636,2.686,11895,124569636,9.045
Cervix Uteri,27010,2001,2001,Female,F,Hispanic,2135-2,0.239,412,18038562,3.481,1942,18038562,14.546
Cervix Uteri,27010,2001,2001,Female,F,Non-Hispanic,2186-5,0.304,3628,125565415,2.6,11306,125565415,8.538
Cervix Uteri,27010,2002,2002,Female,F,Hispanic,2135-2,0.239,388,18777495,3.218,1892,18777495,13.489
Cervix Uteri,27010,2002,2002,Female,F,Non-Hispanic,2186-5,0.301,3490,126141727,2.485,10998,126141727,8.252
Cervix Uteri,27010,2003,2003,Female,F,Hispanic,2135-2,0.228,391,19529116,3.016,1945,19529116,13.213
Cervix Uteri,27010,2003,2003,Female,F,Non-Hispanic,2186-5,0.308,3519,128149920,2.441,10739,128149920,7.931
Cervix Uteri,27010,2004,2004,Female,F,Hispanic,2135-2,0.25,430,20263650,3.168,1924,20263650,12.693
Cervix Uteri,27010,2004,2004,Female,F,Non-Hispanic,2186-5,0.304,3415,128713636,2.355,10552,128713636,7.756
Cervix Uteri,27010,2005,2005,Female,F,Hispanic,2135-2,0.248,447,21030934,3.136,2039,21030934,12.622
Cervix Uteri,27010,2005,2005,Female,F,Non-Hispanic,2186-5,0.3,3469,129182533,2.356,10740,129182533,7.849
Cervix Uteri,27010,2006,2006,Female,F,Hispanic,2135-2,0.262,465,21837469,3.125,2007,21837469,11.917
Cervix Uteri,27010,2006,2006,Female,F,Non-Hispanic,2186-5,0.304,3509,129895178,2.366,10683,129895178,7.777
Cervix Uteri,27010,2007,2007,Female,F,Hispanic,2135-2,0.257,473,22650892,2.981,2062,22650892,11.607
Cervix Uteri,27010,2007,2007,Female,F,Non-Hispanic,2186-5,0.308,3546,130515461,2.365,10638,130515461,7.674
Cervix Uteri,27010,2008,2008,Female,F,Hispanic,2135-2,0.259,472,23468891,2.882,2052,23468891,11.126
Cervix Uteri,27010,2008,2008,Female,F,Non-Hispanic,2186-5,0.304,3530,131135124,2.324,10676,131135124,7.658
Cervix Uteri,27010,2009,2009,Female,F,Hispanic,2135-2,0.266,486,24261364,2.809,2044,24261364,10.547
Cervix Uteri,27010,2009,2009,Female,F,Non-Hispanic,2186-5,0.287,3415,131702711,2.235,10847,131702711,7.78
Cervix Uteri,27010,2010,2010,Female,F,Hispanic,2135-2,0.272,476,24992953,2.65,1941,24992953,9.73
